Name,ObsID,RA_deg,Dec_deg,z,Class,Flux_0p5_4p5,Log_Lx,SCID,Bmag,Rmag,BR_color
XWAS J001454.4-390406,X01601_019,3.7271666666666667,-39.068444444444445,1.798,BLAGN,1.9,44.64,282733402366930,19.69,20.62,-0.9299999999999997
XWAS J001458.5-392211,X01601_043,3.744,-39.36994444444444,1.808,BLAGN,1.7,44.59,282733402346573,21.75,,
XWAS J001501.6-390537,X01602_243,3.755041666666666,-39.09366666666667,0.055,NELG,0.5,40.54,282733402365329,16.94,18.05,-1.1099999999999994
XWAS J001504.1-385941,X01601_050,3.7672083333333335,-38.99472222222222,1.962,BLAGN,1.1,44.51,282733402371713,21.76,,
XWAS J001508.7-390226,X01601_099,3.786625,-39.04047222222222,1.79,BLAGN,1.3,44.47,282733402368783,21.09,21.74,-0.6499999999999986
XWAS J001519.4-390917,X01602_206,3.831125,-39.15511111111111,2.01,BLAGN,0.7,44.31,282733402361112,22.03,,
XWAS J001525.5-392601,X01602_021,3.8567083333333327,-39.43416666666666,1.403,BLAGN,1.2,44.15,282733402342157,20.41,21.11,-0.6999999999999993
XWAS J001530.3-392649,X01602_013,3.8762083333333335,-39.44594444444444,0.103,Gal,0.3,40.87,282733402341349,16.07,17.63,-1.5599999999999987
XWAS J001534.8-392110,X01602_056,3.8950416666666667,-39.35288888888889,2.296,BLAGN,1.0,44.62,282733402347700,20.66,21.84,-1.1799999999999997
XWAS J001537.0-390946,X01602_201,3.9051666666666667,-39.162388888888884,0.063,NELG,0.5,40.68,282733402360556,15.81,16.83,-1.0199999999999978
XWAS J001539.7-392225,X01602_047,3.915625,-39.37416666666667,0.057,NELG,0.4,40.5,282737697270149,17.8,18.18,-0.379999999999999
XWAS J001544.2-391208,X01602_173,3.9345833333333333,-39.2025,0.917,BLAGN,2.9,44.07,282733402357845,20.28,21.71,-1.4299999999999997
XWAS J001544.2-392043,X01602_061,3.9340416666666664,-39.345305555555555,3.436,BLAGN,0.7,44.96,282737697271777,22.09,,
XWAS J001545.0-392250,X01602_043,3.937125,-39.380583333333334,0.986,BLAGN,0.3,43.17,282737697269835,18.21,19.25,-1.0399999999999991
XWAS J001551.6-390232,X01602_259,3.965625,-39.042138888888886,0.251,NELG,1.2,42.37,282737697288714,18.55,20.34,-1.7899999999999991
XWAS J001552.9-391059,X01602_189,3.970875,-39.183527777777776,1.607,BLAGN,0.9,44.2,282737697280819,20.5,21.87,-1.370000000000001
XWAS J001557.5-392429,X01602_033,3.9893750000000003,-39.408249999999995,1.056,BLAGN,1.3,43.88,282737697268474,22.19,,
XWAS J001559.2-390322,X01602_258,3.9963333333333333,-39.05636111111111,1.794,BLAGN,1.9,44.62,282737697287925,19.14,19.28,-0.14000000000000057
XWAS J001559.5-391907,X01602_074,3.998083333333333,-39.31875,0.94,BLAGN,1.4,43.78,282733402349932,21.55,,
XWAS J001608.6-392504,X01602_027,4.03575,-39.41822222222222,0.041,NELG,0.3,40.07,282737697267914,15.66,16.12,-0.46000000000000085
XWAS J001633.1-390533,X01602_244,4.137708333333333,-39.092333333333336,0.833,BLAGN,4.2,44.14,282737697285999,19.4,20.21,-0.8100000000000023
XWAS J001636.3-392514,X01602_026,4.1518749999999995,-39.420944444444444,2.175,BLAGN,2.0,44.87,282737697267729,20.62,20.66,-0.03999999999999915
XWAS J001638.5-391624,X01602_108,4.160458333333334,-39.27344444444444,2.638,BLAGN,0.8,44.71,282737697275810,20.96,21.2,-0.23999999999999844
XWAS J001640.2-391134,X01602_184,4.167291666666666,-39.19288888888889,1.257,BLAGN,1.1,43.99,282737697280344,21.45,22.83,-1.379999999999999
